"id","grade","grade_suffix","coating","finish","surface_type","surface_protection","form","thickness_min","thickness_max","width_min","width_max","length_min","height_min","height_max","weight_min","weight_max","inner_diameter_min","inner_diameter_max","outer_diameter_min","outer_diameter_max","yield_strength_min","yield_strength_max","tensile_strength_min","tensile_strength_max"
"a0e91fd1-b00b-4ff7-8633-62657662b03b","DX51D","","Z275","Hot-dip Galvanized (+Z/+GI)","","","Rectangular Tubes","","","","","","","","","","","","","","","","",""
"84be5122-71d5-4a35-a912-fd2911e3c64f","S355MC","","","","","Oiled (O)","Coils","4.9","5.1","","1520","","","","","25000","610","610","","","","","",""
"0f595b0b-2253-4585-a672-fda592da7191","S355MC","","","Galvanized","","Oiled (O)","Coils","4.9","5.1","","1520","","","","","25000","610","610","","","","","",""
"920dcf5c-136f-4ffc-9449-03f00c1b5a46","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","Phosphated, chemically passivated and oiled (PCO)","Coils","1","1","1250","1300","","","","","","","","","","","","",""
"facd942d-02a2-46bf-936c-e3afd39ee20d","S355MC","","","","","","Coils","7.8","8.1","1270","","","","","","","","","","","","","",""
"140d30f7-f16d-4455-a448-516ab6616812","S500MC","","","","","","Coils","8","8","","","","","","","","","","","","","","",""
"178a48ef-f870-46d7-ba3c-c94b35477459","S355MC","","","","","","Coils","7.8","8.1","1270","","","","","","","","","","","","","",""
"69d1f6b7-dc43-4dfd-90da-507a8dfd23d2","S500MC","","","","","","Coils","8","8","","","","","","","","","","","","","","",""
"ca60a74b-7cdc-4098-a20c-2de916dcb66b","S235JR","","","Black (S1)","","","Coils","1.8","1.8","","","","","","20000","20000","","","","","","","",""
"df6085e7-42f9-4ce3-92b0-3a7a24159a61","S235JR","","","Black (S1)","","","Coils","2.75","2.75","","","","","","80000","80000","","","","","","","",""
"e46aa804-164c-4907-a7ca-07a99d66d1b6","S220GD","","","SuperVitac (SVA)","","","Coils","1.8","1.8","","","","","","120000","120000","","","","","","","",""
"094422ce-696c-482d-9927-c3cfbf347f7a","S220GD","","","SuperVitac (SVA)","","","Coils","2.75","2.75","","","","","","100000","100000","","","","","","","",""
"a462a4cb-bbaa-4417-b876-4b8606c6f8db","DD11","","","Oiled","","","Coils","2.4","2.6","600","1520","","","","20000","25000","610","610","","","","280","300","360"
"7729084d-fc2d-41d8-a8df-891da74078f1","DC01","","","","","","Sheets","2","2","1500","1500","3000","3000","","17000","17000","","","","","","","",""
"86008598-05ed-4532-8a70-e8ee8daf3796","DC01","","","","","","Sheets","1.5","1.5","1500","1500","3000","3000","","3000","3000","","","","","","","",""
"06bf89b8-3e0b-4be9-a611-1e656cae34eb","HC420LA","","","","","","Coils","2.5","2.5","600","","","","","","","","","","","","","",""
"502b3359-ee17-4ecc-8046-ceb4e6559fb8","DC01","","","","","","Sheets","1","1","1500","1500","3000","3000","","5000","5000","","","","","","","",""
"0543ec11-51e5-4b6e-8ff3-bd1dc271d768","DD11","","","","","","Sheets","1.5","1.5","","","","","","","","","","","","","","",""
"5242c623-abc6-4cc8-a1e3-dde93a899f00","S235JR","","","","","","Sheets","1.5","1.5","","","","","","","","","","","","","","",""
"4d1d8f30-346e-47a5-aed6-06a86e35f6d8","S235JR","","","","","","Sheets","3.5","3.5","","","","","","","","","","","","","","",""
"de734972-0ed4-47d2-85ed-94c639524ef3","DC04","","ZE75/75","Electro-Galvanized (+ZE)","","","Sheets","2","2","","","","","","","","","","","","","","",""
"b48a1279-3852-4482-902f-203558c37a33","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","Phosphated and chemically passivated (PC)","Coils","0.7","0.7","","","","","","","40000","","","","","","","",""
"02c609c9-52b4-49d5-b6e8-cc14787f1822","DC03","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","Phosphated and chemically passivated (PC)","Coils","0.7","0.7","","","","","","","40000","","","","","","","",""
"3fe05d73-7de1-4c32-ad94-991ff0ad4290","DC04","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","Phosphated and chemically passivated (PC)","Coils","0.7","0.7","","","","","","","40000","","","","","","","",""
"0e375556-7947-4dc0-a628-d1674e5d1658","S420","","","","","","Coils","3","3","1500","1500","","","","","","","","","","","","",""
"82456e41-801e-4f90-9263-6c96d3e72160","S500","","","","","","Coils","3","3","1500","1500","","","","","","","","","","","","",""
"2761ad98-baa2-4022-b98c-146a32b16dec","S235JR","","","Normalized (+N)","","Oiled (O)","Coils","6.1","6.6","1850","1900","","","","25000","25000","","","","","","","",""
"985a13af-6aee-4660-83c1-ce5114758d4e","DX51D","","Z100","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, improved surface (MB)","Oiled (O)","Coils","1.5","2","","","","","","","","","","","","","","",""
"9b6f3d40-da34-465e-9211-b0d7b1d19036","DX51","","ZM100","Hot-dip zinc magnesium (+ZM)","","","Coils","1.4","1.5","","","","","","300000","300000","","","","","","","",""
"e63d7e85-caef-4f2f-a89b-3889907f7e74","DC01","","ZV25/25","JVD Galvanized (+ZV)","","","Coils","0.8","0.8","1250","1250","","","","","","","","","","","","",""
"2104d59d-0957-4875-b4b1-7f968cb43352","DC01","","ZE25/25","Electro-Galvanized (+ZE)","","","Coils","0.8","0.8","1250","1250","","","","","","","","","","","","",""
"3d594a5b-ff2d-41a2-9c81-ae7a3b055f89","S320GD","","Z275","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, conventional surface (MA)","Chemically passivated (C)","Coils","1.5","1.5","","","","","","20000","20000","","","","","","","",""
"b64d3856-e630-4fa6-b5f7-d02e900e510e","S420MC","","","Hot Rolled","","","Plates","12","12","1500","1500","","","","50000","50000","","","","","","","",""
"761b9fc9-1000-476c-bebe-6c40dd431b1c","S355MC","","","Hot Rolled","","Pickled and Oiled","Coils","3","3","200","1520","","","","","25000","610","610","","","","","",""
"bab67e88-be02-40c9-b3d7-b43a4adff716","S220GD","","ZM100","Hot-dip zinc magnesium (+ZM)","","","Coils","1.4","1.5","","","","","","300000","300000","","","","","","","",""
"5190b002-36f4-497b-b1aa-856762facb07","S355JR","","","","","O","Coils","","","","1520","","","","","25000","610","610","","","","","570","710"
"8cc82a77-7371-4839-bca3-86f8d3ea627a","DD11","","","Oiled","","","Coils","","","","1520","","","","6000","25000","610","610","","","","","",""
"e42b147c-89f1-46de-b56e-0f201d709601","DD11","","","Oiled","","Oiled (O)","Coils","","","","1520","","","","6000","25000","610","610","","","","","",""
"269d6f1b-faa1-4fae-ab15-e71211c94cff","","","","Galvanized","","","Sheets","0.37","0.4","","","","","","","","","","","","","","",""
"9498ba9c-5acf-4219-9c4f-a9e87e4aeadd","","","","Prepainted (PPGI)","","","Sheets","0.37","0.4","","","","","","","","","","","","","","",""
"795c1324-5586-4057-8c6a-574755248aa2","DC04","","","Cold Rolled","","Lightly Oiled (L)","Coils","1.2","1.2","","1520","","","","20000","25000","610","610","","","","","",""
"724a7dd7-d80d-4320-86c7-b8a879bb619d","S600MC","","","Oiled","","","Coils","5","5","","1520","","","","","25000","610","610","","","","","",""
"4547058c-19a5-459c-96e7-5c4cfa7f2568","S355J2+N","","","","","","Plates","15","15","2500","2500","6000","6000","","24000","24000","","","","","","","",""
"12779ba3-969c-48dc-97d8-33e72279f695","S235","","","","","","Plates","15","15","1500","1500","3000","3000","","24000","24000","","","","","","","",""
"4ed0a63d-81fe-441f-b87a-cd4e6db65bb7","S355","","","","","","Plates","15","15","1500","1500","3000","3000","","24000","24000","","","","","","","",""
"4d565122-229a-4541-8a53-3b18169c3635","S355MC","","","","","Oiled (O)","Coils","2","2.05","","1520","","","","","25000","610","610","","","","","",""
"2d3e3b00-62f8-48fd-a80d-d15a299ed045","S420","","","Oiled","","","","","","","","","","","","","610","610","","","","","",""
"61aca849-8359-4b40-b321-176160c241a7","S460","","","Oiled","","","","","","","","","","","","","610","610","","","","","",""
"02647f9b-5108-4955-938f-e6b003b62690","","","","","","","Coils","","","","1520","","","","","25000","","","","","","","",""
"613608a5-2b5d-4cca-8527-5639ab76949c","","","","","","","Round Bars","","","","","","","","","","","","","","","","470","630"
"858b4d2a-590d-4d36-b89c-adb0cb039d22","S500MC","","","","Non-specified","Oiled (O)","Strips","5.89","6.11","610","610","","","","5000","25000","","","","","","","",""
"2624655e-ea07-468a-8da8-2e39c9d1e7f0","S700MC","","","Oiled","","","Coils","2.5","2.5","610","1520","","","","","25000","","","","","","","640","965"
"b9dc4688-75e2-45ed-82ed-c33ca308f94e","S355J2C","","","+N","","","Coils","8","8","1400","1500","","","","150000","","","","","","","","",""
"9a26d7df-1335-45d4-97cd-6d7459fb2674","S355J2C","","","+N","","","Coils","8","8","1500","1600","","","","90000","","","","","","","","",""
"ee5c62d7-b0f9-4818-8698-425ffdcdb11a","S600MC","","","Hot Rolled","","Oiled (O)","Coils","2.8","2.8","600","1520","","","","15000","25000","","","","","","","",""
"e51114ac-ff3c-4823-be87-e25e9085096a","","","","Hot Rolled","","","","2.4","2.4","","","","","","","","","","","","","","",""
"7be2d720-52c2-4f8a-a82a-2b90f535ad40","DX51D","","AS050","Aluminized (+AS/+AL)","","","Coils","1.5","1.5","1000","1000","","","","","24000","","","","","","","",""
"0d3f1ae0-f78c-47d3-9df6-b749e36304a2","CR460LA","","GI60/60","Hot-dip Galvanized (+Z/+GI)","","","Coils","1.4","1.4","1065","1065","","","","15000","20000","","","","","","","",""
"c7dbd2da-a758-44ba-9e16-ee10ec99f631","DX51D","","AS120","Aluminized (+AS/+AL)","Conventional surface (A)","Chemically passivated and oiled (CO)","Coils","2","2","1500","","","","","","","","","","","","","",""
"24889764-ab00-4c8e-ae3e-5945601bbafb","DC01","","","Cold Rolled","","Lightly Oiled (L)","Coils","4","4.06","","1520","","","","","25000","610","610","","","","","",""
"8da7061a-5e02-49b0-a888-fb3461b8a8c5","S235","","","Hot Rolled","","","Plates","15","15","1500","1500","3000","3000","","","24000","","","","","","","",""
"3890f753-a284-4da4-9723-c0a697c8a403","DX51D","","AZ150","Aluzinc (+AZ)","","","Coils","1","1","1404","1404","","","","24000","24000","","","","","","","",""
"41a4f5a5-728a-4965-b483-6e265eebf93a","DD11","","","Hot Rolled","","Pickled and Oiled","Coils","4.2","4.2","1842","1845","","","","","21000","","","","","","","",""
"b30cef8b-4065-4272-89b5-57b1fd91c50d","S500MC","","","Hot Rolled","","","Coils","5","5","1250","1520","","","","15000","25000","610","","","","","","",""
"8b1f5085-e3de-45f9-9ba1-aa6bb450722e","CR420LA","","GI60/60","Hot-dip Galvanized (+Z/+GI)","","","Coils","1.4","1.4","1065","1065","","","","15000","20000","","","","","","","",""
"4da333cf-6f2a-4b64-9212-2be665c5e1e3","S550GD","","ZM310","Hot-dip zinc magnesium (+ZM)","Minimized spangle, improved surface (MA)","Chemically passivated (C)","Coils","3.5","3.5","","","","","","","","","","","","","","",""
"e0bfc6b2-19de-475e-ba88-6d6081204ed9","DC01","","ZV25/25","JVD Galvanized (+ZV)","","","Coils","0.8","0.8","1250","1250","","","","","","","","","","","","",""
"e67e6b48-e699-4e55-9640-ff061375d513","DC01","","ZE25/25","Electro-Galvanized (+ZE)","","","Coils","0.8","0.8","1250","1250","","","","","","","","","","","","",""
"2c0d57e5-e106-4874-b3fc-2204172df725","DC01","","","Cold Rolled (+CR)","","Oiled (O)","Coils","3.94","4.06","","1520","","","","","10000","610","610","","","","","",""
"e14a46c3-b349-4441-b09f-8088e5663262","S500MC","","","","","","Coils","1.5","1.5","","1520","","","","","25000","610","610","","","","","",""
"87daa9e0-9c54-4c2e-8a7e-f3765fb00184","S550GD","","Z275","Hot-dip Galvanized (+Z)","Minimized spangle, improved surface (MA)","Chemically passivated (C)","Coils","3.5","3.5","","","","","","","","","","","","","","",""
"b07bd542-9662-4390-9fc7-219914cd3cc7","DD11","","","Stained","Oiled (O)","","Coils","3.5","3.65","","1520","","","","","25000","610","610","","","","","",""
"63078462-b3a8-463c-8c44-301ec9d0d024","DX51D","","Z275","Hot-dip Galvanized (+Z/+GI)","","","Coils","3","3","","1520","","","","20000","25000","610","610","","","","","",""
"842bed3a-ff53-487d-8619-71438456c9a8","S235JR","","","Oiled","","","","","","610","610","","","","","25000","","","","","235","","340","420"
"7751590f-f067-46b8-9ae1-db7846fedbaf","S235JR","","","Oiled","","","","","","610","610","","","","","","","","","","","","",""
"3db44a0a-145e-4ef9-a303-c499bc03bfb8","","","","","","","Coils","","","","1520","","","","","25000","","","","","","","",""
"4867919e-2a2f-4f11-83b4-aa51c4684475","S235JR","","","Oiled","","","Coils","2.85","3","","1520","","","","","25000","610","610","","","","","",""
"7916fb45-89ef-445c-93f7-21a464eb870c","S355MC","","","Hot Rolled","","","Plates","8","8","1500","1500","3000","3000","","24000","48000","","","","","","","",""
"7aff99bf-c340-40b0-b54a-c7e97394c99d","S460MC","","","","","Pickled and Oiled","Coils","2.65","2.85","","1520","","","","","25000","610","610","","","","","",""
"590fd451-ad87-4ead-8d51-41edc690b327","DD11","","","Stained","","Oiled (O)","Slit Coils","1.7","2","","1520","","","","","25000","610","610","","","","","",""
"16d83724-2489-4924-bd4a-f8ff2a0903d7","S355","","","Stained","","Oiled (O)","Coils","","","","1520","","","","","25000","610","610","","","","","",""
"dc0d96eb-b036-4418-bc38-4cfde5d5bbe5","S420MC","","","Oiled","","","Coils","","","610","610","","","","","","","","","","","","",""
"76d3f8c4-f84c-4ec8-8ed7-5ae3e856f408","","","","","","","Coils","4.45","4.55","","1520","","","","","25000","","","","","","","",""
"b78ef921-0ff1-4e4b-aa5d-fe99d9e3de91","S235JR","","","Oiled","","","Coils","","","98","98","","","","","25000","","","","","","","",""
"b954d3d2-f2d8-4b11-955e-31c7839517f5","S355MC","","","Oiled","","","Coils","","","","1520","","","","","25000","610","610","","","","","",""
"6d0a3267-d32e-40c4-a689-b350ea715f1c","S355MC","","","Oiled","","","Strips","12","25","","","","","","","","610","610","","","","","",""
"7e5252f4-8c56-4166-b5f2-535591d81505","","","","","","","Coils","5","5","","1520","","","","","25000","","","","","","","",""
"078f6ae4-4cf2-4c74-b810-157537c3a8b9","DX51D","","AS050","","","","Coils","0.7","0.8","940","1050","","","","10000","20000","","","","","","","",""
"e2cf8e2c-68d4-4334-9b7d-cc11fa0213dd","S355JR","","","","","","Plates","50","60","1500","8000","","","","","","","","","","355","","430","630"
"f19fd194-e55d-47b4-be13-fe00f147ebfb","S355MC","","","","","","Plates","50","60","1500","8000","","","","","","","","","","355","","430","630"
"86947c4f-30f3-44b2-bf27-b38f774d454a","S420MC","","","","","","Plates","50","60","1500","8000","","","","","","","","","","355","","430","630"
"b2bc544a-219d-4899-9fa4-191e3f475649","S700MC","","","Hot Rolled","","Oiled (O)","Coils","4","4","600","1520","","","","10000","25000","610","610","","","","","",""
"ba15db82-482e-4674-96a0-51234d6b82b2","22MnB5","","AS23/23","Aluminized (+AS/+AL)","","","Coils","1","1","1406","1406","","","","","","","","","","","","",""
"1de03ffd-cfca-42e0-bd89-21e62f0e0aac","","","","","","","Sheets","0.3","3","","640","","","","","","","","","","","","",""
"aad5ef88-18cc-4492-9506-09871a1b5245","S355MC","","","","","","Coils","7.8","8.1","1270","","","","","","","","","","","","","",""
"0cf70763-c18a-4c9b-b5d9-f4cbb127190b","S500MC","","","","","","Coils","8","8","","","","","","","","","","","","","","",""
"451c9406-3053-4605-9f1e-0b6183d93d56","S235JR","","","Hot Rolled","","","Plates","8","8","1500","1500","3000","3000","","24000","48000","","","","","","","",""
"dff7cdb0-f464-4b60-91ce-8d628f8ed4de","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","Phosphated, chemically passivated and oiled (PCO)","Coils","1","1","1250","1300","","","","","","","","","","","","",""
"75551299-bf73-4b4d-9f30-192dc8d98a46","HC260LA","","","","","","Coils","1.3","1.5","600","1520","","","","","25000","610","610","","","","","",""
"47d6609c-1ffa-4576-9265-bdabbd6cec0e","22MnB5","","AS23/23","Aluminized (+AS/+AL)","","","Coils","1","1","1406","1406","","","","","450000","","","","","","","",""
"bb18f827-a40c-4bb7-ac4a-6a407fffc209","S355","","","Seamless","","","Seamless Round Tubes","12.5","12.5","","","114000","120000","","","","","","193.7","193.7","","","",""
"aa39bdac-3029-4450-a42e-4e5f81360866","DX51D","","Z115","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, conventional surface (MA)","Chemically passivated (C)","Coils","1.4","1.55","","","","","","","","","","","","","","",""
"a7674ae7-731c-46ab-94db-a7a972df8849","S235JR","","","","","","Coils","1.3","1.5","600","1520","","","","","25000","610","610","","","","","",""
"54ebb88a-f9a0-4f41-9a28-20e72c87f491","DD11","","","","","","Coils","1.3","1.5","600","1520","","","","","25000","610","610","","","","","",""
"4f8e5961-60c1-443f-a624-a343753470a2","S235JR","","","","","","Plates","3","3","1500","1500","3000","3000","","25000","25000","","","","","","","",""
"3231dd9d-d846-43a0-8277-87a1eb9b5277","S320MC","","","","","","Coils","3","3","1500","1500","3000","3000","","25000","25000","","","","","","","",""
"df42a32a-903c-4392-8bb3-a9d0c9e9218f","DX54D","","ZF120","Galvannealed (+ZF)","","","Coils","0.97","1.05","","1620","","","","","","","","","","","","",""
"07624e1d-0a7a-4426-9551-467464ac5034","DX54D","","ZF140","Galvannealed (+ZF)","","","Coils","0.97","1.05","","1620","","","","","","","","","","","","",""
"254229f4-c466-4e0b-a650-50336b07fdd2","DC04","","","","","","Coils","0.97","1.05","","1620","","","","","","","","","","","","",""
"7d5b7983-7c99-4f0d-bddf-9fbd528eca81","DX51D","","ZF080","Galvannealed (+ZF)","","","Coils","1.2","1.3","","1620","","","","","","","","","","","","",""
"83580cd4-e88e-4538-b038-e56113e4c2e3","DX51D","","ZF100","Galvannealed (+ZF)","","","Coils","1.2","1.3","","1620","","","","","","","","","","","","",""
"1cc056a6-bc3c-4705-9af1-23e2f89115ad","DX51D","","ZF120","Galvannealed (+ZF)","","","Coils","1.2","1.3","","1620","","","","","","","","","","","","",""
"5a07f956-c944-498f-80c1-5fb986c7bb20","DX51D","","ZF140","Galvannealed (+ZF)","","","Coils","1.2","1.3","","1620","","","","","","","","","","","","",""
"4c71cc86-4968-4fb8-8bb3-6992d165faeb","DC01","","","","","","Coils","1.2","1.3","","1620","","","","","","","","","","","","",""
"e5067fef-17ee-4539-8719-0f3070b72b90","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","","Coils","0.65","0.75","1500","","","","","","","","","","","","","",""
"7b4e3d5d-d323-4077-aae3-4883855c9025","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Phosphated (P)","Chemically passivated (C)","Coils","0.65","0.75","1500","","","","","","","","","","","","","",""
"22b45745-bf1f-42af-acbc-be82422b8c6b","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Conventional surface (A)","","Coils","1","1","20","24","","","","","","","","","","","","",""
"7b27040f-a792-40d8-adce-6d2e3e36a2ef","S355J2C","","","Oiled","","","Coils","5","5","","1520","","","","","25000","610","610","","","","","",""
"0bf8ca82-5167-4cbf-8bed-020ea18b9510","S315MC","","","Oiled","","","","","","","","","","","","","610","610","","","","","",""
"81c9dcd6-b91d-4a3c-a6a8-5a72d0a7d68c","","","","","","","Coils","","","","1520","","","","","25000","","","","","","","",""
"a1be52f6-6a42-4b91-8c33-20e6321fa374","S235JRG2","","","","","Pickled and Oiled","Coils","2.15","2.3","","1520","","","","15000","25000","610","","","","","","",""
"790aa53f-f847-43a1-8962-0d899e4b75ba","DC01","","ZE25/25","Electro-Galvanized (+ZE)","Phosphated (P)","Chemically passivated (C)","Coils","1","1","20","24","","","","","","","","","","","","",""
"6bd97b13-b189-41f0-ad8b-9f26be3d93d0","DX54D","","ZF080","Galvannealed (+ZF)","","","Coils","0.97","1.05","","1620","","","","","","","","","","","","",""
"1d54d3de-d0b3-4273-89e9-7ef3e8febb0d","DX51","","Z100","Hot-dip Galvanized (+Z/+GI)","","","Coils","1.4","1.5","","","","","","300000","300000","","","","","","","",""
"e8aab41f-0954-42b0-b20d-a0e15fd17e23","S355JR","","","Oiled","","","Coils","","","","1520","","","","","25000","610","610","","","","","510",""
"d9800e2e-3aad-49a5-b5cb-d0da367732db","S420","","","Oiled","","","Coils","","","","1520","","","","","25000","610","610","","","","","510",""
"d2d2dd2a-568f-488f-8926-99982e5703aa","S460","","","Oiled","","","Coils","","","","1520","","","","","25000","610","610","","","","","510",""
"5fb67cfd-fbe7-40b1-8af0-bea366daa4ce","S355","","","Oiled","","","Coils","1.44","1.56","","1520","","","","","25000","610","610","","","","","",""
"822a6db3-48ad-4290-a711-8c4d7f07abc8","DD11","","","Hot Rolled","","Pickled and Oiled","Coils","1.5","1.5","","1520","","","","10000","","610","610","","","","","",""
"77478b36-598c-41d9-86cf-123530411520","DX54D","","ZF100","Galvannealed (+ZF)","","","Coils","0.97","1.05","","1620","","","","","","","","","","","","",""
"707169f3-85cc-456b-8f77-d82423370d67","S355MC","","","","","","Coils","2.5","2.5","1070","","50","100","","","","","","","","","","",""
"7c2315bd-a330-4578-88b7-c132be30de2d","HX180YD","","Z100","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, improved surface (MB)","Oiled (O)","Coils","1.1","1.3","620","","","","","","20000","","","","","","","",""
"19019fb2-05f6-4267-aaf8-6fb9aff3fa83","DC01","","ZE25/25","Dry","","","Sheets","","","1250","1300","1000","1000","","15000","20000","","","","","","","",""
"6251d2eb-34d3-4e8b-bae4-0caa3f55371a","HE320D","","","","","","H-Sections","1.69","1.91","1150","1150","","","","20000","20000","","","","","","","",""
"e8090359-5014-4395-ac73-620ba80f2d5b","DC01","","","1U","","","Sheets","1","1","1500","1500","3000","3000","","1000","1000","","","","","","","",""
"9e1ebd5b-0c7d-44f2-9bfc-e371f1b6f63f","S235JR","","","Hot Rolled","","Oiled (O)","Coils","4","4","600","1520","","","","","60000","","","610","610","","","",""
"a2a82c6c-7a7e-4eec-ad69-f487424dc71e","DC01","","","Cold Rolled (+CR)","","Lightly Oiled (L)","Coils","1.15","1.25","992","1520","","","","","25000","610","610","","","","","",""
"5795f078-e97e-43c4-a6a7-dd7d55b33dd9","DX51D","","Z225","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, conventional surface (MA)","Chemically passivated (C)","Coils","1.4","1.55","","","","","","","","","","","","","","",""
"3e2099cb-76bb-46db-9cd3-6a03a4da0e39","DX51D","","Z183","Hot-dip Galvanized (+Z/+GI)","Minimized spangle, conventional surface (MA)","Chemically passivated (C)","Coils","1.4","1.55","","","","","","","","","","","","","","",""
"c91db5bf-1bc5-4597-98b1-0ac36c5638fd","S235JR","","","","","Oiled (O)","Coils","15","25","610","610","","","","","25000","","","","","","","",""
"db475b0b-e62d-4719-a502-d1effef1ed48","HC420LA","","","","","","Coils","2.5","2.5","","","","","","24000","48000","","","","","","","",""
"a2045fb1-90e5-4957-91ac-a5a8b83fd081","DC01","","","1U","","","Sheets","1.5","1.5","1500","1500","3000","3000","","1000","1000","","","","","","","",""
"2ac2bd99-e161-4856-9b24-6dc6bf7d985b","S235JR","","","Oiled","","","Coils","5.85","6.05","200","1520","","","","","25000","","610","","","260","","",""
"83692241-9b86-40d3-8e9f-044852b24a7f","C45+C","","","","","","Round Bars","8.15","8.15","","","3000","3000","","10000","10000","","","","","","","",""
"7d6fcc82-1fb9-4b7b-897c-64f3efe90150","S235JR","","","Stained","","Oiled (O)","Coils","1.75","1.75","15","25","","","","","25000","","","","","","","",""
"934d51a5-c360-494e-af6c-41f324216aaa","S460MC","","","Stained","","Oiled","Coils","","","","1520","","","","","25000","610","610","","","","","",""
"9aaf3186-32e9-4b8c-a282-048549b03da6","S355MC","","","Oiled","","","","","","","","","","","","","610","610","","","","","",""
"a7b9f0bb-3533-4e0c-ac1c-1a71745bf089","","","","","","","Coils","","","","1520","","","","","25000","","","","","","","",""
"88787789-76a4-44ab-8e89-743b83d2b563","S235JR","","","Oiled","","","Coils","2.42","2.58","610","1520","","","","","25000","","","","","","","",""
"91023823-c7de-4386-b230-9bb3c8bf4dc4","DD11","","","Oiled","","","Coils","4.58","4.82","610","610","","","","","25000","","","","","","","",""
"b0f1b52b-0cdf-4a1d-a8e5-daf6a95c754b","C50","","","","","","Round Bars","70","70","70","70","","","","3000","4000","","","","","","","",""
"05c191ac-c545-4e9e-b64a-8651ec07b34d","C55","","","","","","Round Bars","70","70","70","70","","","","3000","4000","","","","","","","",""
"db1cccfc-7ae8-4fbc-955b-01468d8e72e1","C60","","","","","","Round Bars","70","70","70","70","","","","3000","4000","","","","","","","",""
"6203fa5e-e948-4d7f-9be1-96bdb8c13bbf","Cf53","","","","","","Round Bars","70","70","70","70","","","","3000","4000","","","","","","","",""
"418a5aaa-323a-48a8-9a3c-338f924cde2c","C45R","","","As Rolled (+AR)","","","Round Bars","","","110","110","5700","5900","","7000","7000","","","","","","","",""
"714e5de7-7c89-4f74-9569-bc9ed7733dce","C45R","","","As Rolled (+AR)","","","Round Bars","","","135","135","5700","5900","","40000","40000","","","","","","","",""
"538cadbc-10e4-4664-801f-26d702918133","C45R","","","As Rolled (+AR)","","","Round Bars","","","190","190","6000","6200","","48000","48000","","","","","","","",""
"b65073bd-52d6-49bd-95e6-2d70a68eac5f","42CrMoS4","","","Quenched and Tempered (+QT)","","","Round Bars","","","135","135","5200","5400","","54000","54000","","","","","","","",""
"5cef718a-460b-43ca-92f5-82151c2922b9","DC01","","","1U","","","Sheets","2","2","1500","1500","3000","3000","","1000","1000","","","","","","","",""
"493caf8e-eb37-491e-8442-ee7d7cc49bd0","DD11","","","1U","","","Plates","3","3","1500","1500","3000","3000","","1000","1000","","","","","","","",""
"e46da0fc-64a2-40da-9482-0978978d74e7","S235JR","","","","","","Sheets","12","12","1500","1500","3000","3000","","25000","25000","","","","","","","",""
